date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:21	15032/15032	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:31%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayCloudStorageString	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata2ebf.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:21	15484/15484	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:34%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayConfigureSensor	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata5f34.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:22	14811/14811	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:35%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayCreateBackup	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata7432.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:23	14841/14841	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:33%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayCreateSystemBackup	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadatac143.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:23	14543/14543	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:35%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayDateSync	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata5638.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:24	21649/21649	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:36%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayDevices	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadataac13.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:24	15305/15305	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:36%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayDimmerToggle	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata35b3.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:25	15125/15125	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:37%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayDoorLockSetPassword	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata43e6.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:26	15320/15320	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:36%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayDoorLockToggle	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata1c28.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:26	15200/15200	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:39%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayGWVersion	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadataf9ab.html	(from http://greencom.azurewebsites.net/api/metadata)
